timestamp,open,high,low,close,adjusted close,volume,dividend amount
2012-05-31,207.1800,208.9290,192.0000,192.9000,113.6331,86005300,0.8500
2012-04-30,208.9600,210.6900,196.7910,207.0800,121.4737,86603000,0.0000
2012-03-30,197.2300,209.1200,196.8120,208.6500,122.3947,88096900,0.0000
2012-02-29,193.2100,199.2300,190.8310,196.7300,115.4024,78809900,0.7500
2012-01-31,186.7300,193.1000,177.3472,192.6000,112.5423,110015000,0.0000
2011-12-30,187.0100,194.9000,179.0400,183.8800,107.4469,103436500,0.0000
2011-11-30,181.5500,189.9700,177.0600,188.0000,109.8543,97014100,0.7500
2011-10-31,174.3600,190.5300,168.8800,184.6300,107.4548,144563700,0.0000
2011-09-30,172.7100,180.9100,158.7600,174.8700,101.7744,137895000,0.0000
2011-08-31,182.6000,183.6900,157.1300,171.9100,100.0517,195054100,0.7500
2011-07-29,171.6100,185.6300,171.4900,181.8500,105.3614,113593200,0.0000
2011-06-30,168.9000,172.4468,161.5200,171.5500,99.3937,105442400,0.0000
2011-05-31,172.1100,173.5400,165.9000,168.9300,97.8757,110804200,0.7500
2011-04-29,163.7000,173.0000,162.1900,170.5800,98.3948,100769500,0.0000
2011-03-31,163.1500,167.7200,151.7100,163.0700,94.0628,129714300,0.0000
2011-02-28,162.1100,166.2500,159.0300,161.8800,93.3764,89067500,0.6500
2011-01-31,147.2100,164.3500,146.6400,162.0000,93.0812,118831600,0.0000
2010-12-31,143.6100,147.5000,143.5100,146.7600,84.3247,93392800,0.0000
2010-11-30,143.6400,147.5300,141.1800,141.4600,81.2795,104096700,0.6500
2010-10-29,135.5100,144.0000,134.3900,143.6000,82.1445,137284700,0.0000
2010-09-30,125.3100,136.1100,124.5200,134.1400,76.7330,116092900,0.0000
2010-08-31,129.2500,132.4900,122.2800,123.1300,70.4349,117394000,0.6500
2010-07-30,123.5500,131.6000,120.6100,128.4000,73.0845,144080000,0.0000
2010-06-30,124.6900,131.9400,122.8200,123.4800,70.2841,162019100,0.0000
2010-05-28,129.3900,133.1000,116.0000,125.2600,71.2972,188444200,0.6500
2010-04-30,128.9500,132.2800,127.1200,129.0000,73.0429,146426400,0.0000
2010-03-31,127.5000,130.7300,125.2000,128.2500,72.6182,139997300,0.0000
2010-02-26,123.2300,128.2700,121.6100,127.1600,72.0010,113211200,0.5500
2010-01-29,131.1800,134.2500,121.9000,122.3900,68.9888,156110600,0.0000
2009-12-31,127.2900,132.8500,126.0000,130.9000,73.7857,124475900,0.0000
2009-11-30,120.6100,128.9400,119.5000,126.3500,71.2210,110748200,0.5500
2009-10-30,119.3900,128.6100,117.2600,120.6100,67.6840,183531100,0.0000
2009-09-30,117.6700,122.8800,115.1500,119.6100,67.1228,131522200,0.0000
2009-08-31,118.8800,120.8800,116.1200,118.0500,66.2474,112480200,0.5500
2009-07-31,105.0000,119.3700,99.5000,117.9300,65.8714,176171400,0.0000
2009-06-30,106.9400,110.6400,103.5100,104.4200,58.3252,160502100,0.0000
2009-05-29,103.7800,106.8200,99.8300,106.2800,59.3641,153084700,0.5500
2009-04-30,96.1300,106.0500,95.7000,103.2100,57.3479,213623100,0.0000
2009-03-31,91.1700,99.8600,83.0200,96.8900,53.8362,286114500,0.0000
2009-02-27,90.6000,97.1000,82.8500,92.0300,51.1358,223017600,0.5000
2009-01-30,83.8900,94.9400,81.7600,91.6500,50.6612,208959400,0.0000
2008-12-31,80.9500,87.2700,75.3100,84.1600,46.5209,188846100,0.0000
2008-11-28,92.6400,94.7600,69.5000,81.6000,45.1058,218313000,0.5000
2008-10-31,115.5100,116.8000,78.8200,92.9700,51.0908,314972000,0.0000
2008-09-30,122.8700,124.0000,109.9500,116.9600,64.2743,218411700,0.0000
2008-08-29,128.5200,129.9700,121.5000,121.7300,66.8956,137028800,0.5000
2008-07-31,117.5000,130.9300,116.6000,127.9800,70.0590,200876500,0.0000
2008-06-30,128.6700,129.3700,118.1500,118.5300,64.8859,152327500,0.0000
2008-05-30,121.0600,129.9900,120.7800,129.4300,70.8528,159517500,0.5000
2008-04-30,115.1400,125.0000,113.8600,120.7000,65.8087,192087200,0.0000
2008-03-31,114.0900,119.7900,111.8000,115.1400,62.7773,179284200,0.0000
2008-02-29,107.2100,116.6300,100.6000,113.8600,62.0794,168280800,0.4000
2008-01-31,108.9900,108.9900,97.0400,107.1100,58.1745,247523900,0.0000
2007-12-31,105.4500,112.1900,104.0000,108.1000,58.7122,134151600,0.0000
